"Accountability","Collaboration","Courage","Drive","Humanity","Humility","Integrity","Judgment","Justice","Temperance","Transcendence","Performance","Character"
4.20765464354822,3.46477525537991,4.62605816492081,4.26202252353865,3.22497357736879,3.48998240001759,4.2156256509002,4.24560009971698,3.75010059678174,3.53994785628583,4.09524491398646,5.70962260429869,3.92018051658593
4.51309137580438,4.69474821012524,4.69048404370715,4.4450559588744,4.67226192377082,4.5240179152708,4.37280705128856,4.43317659464807,4.58284054340625,4.42151811786841,4.74853287547986,5.60967862378078,4.5544122372949
4.54323534060411,4.35964400549504,4.49190297580639,4.31795885860285,4.25975238576611,4.44917124896097,4.74319581585137,4.18015386293926,4.64496440623387,4.18195372596066,4.14217048955753,5.82245573310135,4.39219119234347
5.08802139697584,4.20726403549301,4.57073188806488,4.54607709555904,4.32413009550097,4.47328118928162,4.79544541405898,4.44069245715573,4.44301109993434,4.10384182730058,4.25217030613076,6.01538942646152,4.47678789140507
4.57570247452523,4.18184760895079,4.620629195709,4.24272801823828,4.04037676293241,4.16662039466462,4.56261489140544,4.42408575498802,4.03684593390482,4.36798665746307,4.69442515264243,6.07466583475496,4.35580571322037
4.55459962122401,4.19017670070513,4.28026236236459,3.83945267509077,4.09944840230618,4.01523228685856,4.11985765078352,4.27027905127844,4.06431280890044,3.92235863427906,3.82654133267314,5.85996388353722,4.10750195695126
4.59596748964568,4.36420684518512,4.58502129241209,4.36584475662742,4.32682743528014,4.60960264716111,4.87587712475858,4.63066031813423,4.70934982629054,4.91029928321119,4.47692253095377,5.67263982148147,4.58641632269635
4.115551526837,4.71685646497882,4.43432150001442,3.91165436059637,4.61629896825088,4.49102207099007,4.56025946050126,4.31031591496955,4.5340753988078,4.57135468446808,4.23328569857891,5.07729339739775,4.40863600445392
4.77126398598846,4.16512882397192,4.58737357825158,4.25780401547842,4.14637127425284,4.28565399657273,4.52166020441616,4.62371690195659,4.34036816100487,4.11526390210549,4.15615829890903,5.77515904810583,4.3609784675371
4.15582078202857,4.26734468302865,4.35458039494719,3.86613416560384,4.29733128795259,4.11986650447451,4.14172258927367,3.77387810646151,3.91212643421951,4.09341118765616,3.89645597879513,4.54069165753519,4.07987928313103
